# B14: Narratives+UI — 2758-2840 — 83 lines
# GLOBAL: preserve {param} {@keyword} %%d %%s [glitch] [br] [color] BBCode emoji
# FORMAT: append |en_text at end of each line
# key	zh	en
UI_AMBITION_HUD_TEXT_1	你想齐家治国平天下，而这需要以做官为前提。
你打算去京城碰碰运气，那里的大官格外多，理应有赏识你的人	你打算去京城碰碰运气，那里的大官格外多，理应有赏识你的人
UI_NPC_ACTION_BUTTON_TEXT_5	风险：会趋势	Empty Slot
UI_OVERRIDE_ACTION_BUTTON_TEXT_0	行动名称	Choose an Idea
UI_OVERRIDE_ACTION_BUTTON_TEXT_1	NPC提供	Choose an Idea
UI_OVERRIDE_ACTION_BUTTON_TEXT_2	可行性	Click to choose an Idea
UI_OVERRIDE_ACTION_BUTTON_TEXT_3	耗费	[Select Item]
UI_OVERRIDE_ACTION_BUTTON_TEXT_4	产出	Decline to Answer
UI_OVERRIDE_ACTION_BUTTON_TEXT_5	风险	Please select an item
UI_PICKER_ITEM_TEXT_0	初级拜谒	Confirm
UI_PICKER_TAPE_ATTACHMENT_TEXT_0	【呈堂物证】	Du Fu [courtesy name Zimei]
UI_PICKER_TAPE_ATTACHMENT_TEXT_1	不回答	Until the Grand Examination: -- xún
UI_PICKER_TAPE_ATTACHMENT_TEXT_2	显示异地行动	Jingzhao Prefecture · Examination Candidate
UI_PICKER_TAPE_ATTACHMENT_TEXT_3	普通	East Market: Li Bai is here
UI_PICKER_TAPE_ATTACHMENT_TEXT_4	特殊	Traits
UI_PICKER_TAPE_ATTACHMENT_TEXT_5	行动	Political Leverage
UI_PICKER_TAPE_ATTACHMENT_TEXT_6	选择行动 + 姿态以行动	Grassroots Polish
UI_PICKER_TAPE_ATTACHMENT_TEXT_7	姿态	Attend Banquet
UI_POEM_CRAFTER_TEXT_0	wasd移动	Yingchuan — Wang Wei is hosting a grand banquet
UI_POEM_CRAFTER_TEXT_1	登高抒怀	Capital
UI_POEM_CRAFTER_TEXT_2	干谒权贵	Recluse
UI_POEM_CRAFTER_TEXT_3	代价是...	Law
UI_POEM_CRAFTER_TEXT_4	开始创作	Mount Tai
UI_POEM_CRAFTER_TEXT_5	撕毁卷轴	Five Hundred Characters from Capital to Fengxian
UI_POEM_DEMAND_TEXT_0	自京附奉先县诵咏五百字	
