# B03: Data+UI — 242-421 — 180 lines
# GLOBAL: preserve {param} {@keyword} %%d %%s [glitch] [br] [color] BBCode emoji
# FORMAT: append |en_text at end of each line
# key	zh	en
CODE_GENERATE_TEST_POEM_EVENTS_6FBDCC9010	获得意象: %s	[Test] Scenario 3: Obtain various unrelated Imaginaries
CODE_GENERATE_TEST_POEM_EVENTS_AC8B504A29	[测试] 场景3: 获取各种不相干的 Imaginary	[Test] Scenario 7: 2/3 hits → Doggerel poem
CODE_GENERATE_TEST_POEM_EVENTS_AD52404E24	[测试] 场景7: 2/3 命中 → 打油诗	[Test] Scenario 2: Obtain Imaginary for "Snowstorm Returnee" recipe
CODE_GENERATE_TEST_POEM_EVENTS_BDF92E1A1B	[测试] 场景2: 获取「风雪夜归人」食谱的 Imaginary	[Test] Scenario 6: Obtain Tier 1/2 Imaginary materials (V5: Tier 2/3 merged)
CODE_GENERATE_TEST_POEM_EVENTS_F3F05F0AE5	[测试] 场景6: 获取 Tier 1/2 的 Imaginary 素材（V5: Tier 2/3 已合并）	[Test] Scenario 1: Obtain two overlapping Imaginaries
CODE_GENERATE_TEST_POEM_EVENTS_F5A050C3E9	[测试] 场景1: 获取两个重叠 Imaginary	%s: parameter for tag '%s' is not a Dictionary, skipping
CODE_GLITCH_PREPROCESSOR_8E14EED932	%s: tag '%s' 的参数不是 Dictionary，跳过	%s: regex compilation failed tag=%s pattern=%s
CODE_GLITCH_PREPROCESSOR_FB8806A61B	%s: 正则编译失败 tag=%s pattern=%s	Iterate 0..current_idea_level over all unlocked buffs, inject source_uuid then on_exit cleanup, reset level to -1
CODE_IDEA_928E46A5AE	遍历 0..current_idea_level 所有已解锁 buff，注入 source_uuid 后 on_exit 清理，重置 level 为 -1	Unknown Idea
CODE_IDEA_BTN_099E3CCA8A	未知理念	Locked
CODE_IDEA_BTN_115FA2A54C	被锁定	Locked, due to
CODE_IDEA_BTN_17A8CAB3B2	被锁定，由于	Unavailable
CODE_IDEA_BTN_460B3574E4	不可用	Set the Idea displayed on button. Disable and show lock reason when locked=true.
CODE_IDEA_BTN_8BA872D0D3	设置按钮显示的 Idea。locked=true 时禁用并显示锁定原因。	Populate Label text from _idea
CODE_IDEA_BTN_BBF2377F0F	根据 _idea 填充 Label 文本	Recursively inject source_uuid and execute operate (supports MultiBuffOperator nesting)
CODE_IDEA_DBA21B691F	递归注入 source_uuid 并执行 operate（支持 MultiBuffOperator 嵌套）	Recursively inject source_uuid and execute on_exit (supports MultiBuffOperator nesting)
CODE_IDEA_E147F80CD1	递归注入 source_uuid 并执行 on_exit（支持 MultiBuffOperator 嵌套）	Level up, unlock one more buff, inject source_uuid then immediately operate the corresponding buff
CODE_IDEA_F1337B7A69	提升一级，解锁更多一个buff，注入 source_uuid 后立即 operate 对应 buff	No Ideas available
CODE_IDEA_PAGE_0127C5A788	暂无可用理念	Refresh right-column candidate Idea pool (Database.ideas - unlocked - conflict check)
CODE_IDEA_PAGE_06953F3F53	刷新右栏候选理念池（Database.ideas - 已解锁 - 冲突检测）	Unknown Idea
CODE_IDEA_PAGE_099E3CCA8A	未知理念	External call: refresh page when new Idea is acquired or Idea data changes
CODE_IDEA_PAGE_1D52523402	外部调用：当获得新理念或理念数据变化时刷新页面	Refresh left-column 5 slots (unlocked Ideas)
CODE_IDEA_PAGE_27819FC258	刷新左栏 5 个槽位（已解锁理念）	Unlock effect %d? Cost: %d %s
CODE_IDEA_PAGE_28231E903A	解锁效果%d？消耗 %d点%s	Click to select Idea
CODE_IDEA_PAGE_2DB22EE5C9	点击选择理念	Left-column slot click: select unlocked Idea
CODE_IDEA_PAGE_42BB022322	左栏槽位点击：选中已解锁理念	Populate center-column details from _selected_idea_uuid
CODE_IDEA_PAGE_65257D423A	根据 _selected_idea_uuid 填充中栏详情	Describe Idea counter_idea relationships (show potential mutual exclusion when no conflict)
CODE_IDEA_PAGE_693D8DE286	描述理念的 counter_idea 关系（无冲突时显示潜在互斥）	(Idea not found)
CODE_IDEA_PAGE_7705E3690F	（理念未找到）	%s: conflicts with "%s"
CODE_IDEA_PAGE_811A80B78E	%s：与「%s」冲突	Clear all Label children of effects column (preserve EffectsContainer itself)
CODE_IDEA_PAGE_8CE5EBD06A	清除效果列所有 Label（保留 EffectsContainer 自身）	(Unknown)
CODE_IDEA_PAGE_90A49E5099	（未知）	Check if Idea is still accessible (in unlocked or Database)
CODE_IDEA_PAGE_913DD190F6	检查理念是否仍然可访问（在已解锁或 Database 中）	Select an Idea
CODE_IDEA_PAGE_967E62B0FF	选择一个理念	Upgrade/Acquire button click: consume resources + add to slot / increase Idea level
CODE_IDEA_PAGE_9E946767B7	升级/获取按钮点击：消耗资源 + 加入槽位/提升理念等级	Empty slot
CODE_IDEA_PAGE_A244E21556	空槽位	Mutually exclusive with "%s"
CODE_IDEA_PAGE_A440FE94DB	与「%s」互斥	Max level
CODE_IDEA_PAGE_D6D8E1DE4A	已满级	Acquire "%s"? Cost: %d %s
CODE_IDEA_PAGE_D89BCCFDA0	获取「%s」？消耗 %d点%s	(Insufficient)
CODE_IDEA_PAGE_EC45DBDF25	（不足）	Refresh all column data
CODE_IDEA_PAGE_EC97C1482B	刷新所有栏位的数据	[Select Item]
CODE_ITEM_PICKER_TAPE_ATTACHMENT_28A9393815	【选择物品】	Influence %d/%d
CODE_LEFT_PLAYER_PANEL_0D13673A08	势 %d/%d	Days until Grand Exam: %d xun
CODE_LEFT_PLAYER_PANEL_134E5C5565	距离大考还剩: %d 旬	Composure %d/%d
CODE_LEFT_PLAYER_PANEL_34B6CBC411	定 %d/%d	Progress "%s": %d(%s)
CODE_LEFT_PLAYER_PANEL_73D0BD60AB	进度「%s」：%d(%s)	%d/%d Literacy
CODE_LEFT_PLAYER_PANEL_745A42FECC	%d/%d 文	Stationed · %s — %s is here
CODE_LEFT_PLAYER_PANEL_7CB079ED6A	驻留 · %s — %s在此	Reputation %d/%d
CODE_LEFT_PLAYER_PANEL_82ED953449	望 %d/%d	%d/%d Health
CODE_LEFT_PLAYER_PANEL_87D55E3395	%d/%d 健	Estate %d/%d
CODE_LEFT_PLAYER_PANEL_B24700B22F	府 %d/%d	Talent %d/%d
CODE_LEFT_PLAYER_PANEL_B3540AF984	才 %d/%d	Mood %d/%d
CODE_LEFT_PLAYER_PANEL_C5D046C34E	兴 %d/%d	Stationed · %s
CODE_LEFT_PLAYER_PANEL_E6142E8810	驻留 · %s	Gatekeeper
CODE_LEVERAGE_ADD_OPERATOR_1E0F945362	门子	Retainer-Scholar
CODE_LEVERAGE_ADD_OPERATOR_2D61825931	清客	Wang Wei
CODE_LEVERAGE_ADD_OPERATOR_3DC14978A1	王维	Gao Shi
CODE_LEVERAGE_ADD_OPERATOR_5692EF6E24	高适	Gained leverage over "%s"
CODE_LEVERAGE_ADD_OPERATOR_6AEECA1FB4	获得了关于「%s」的把柄	Merchant
CODE_LEVERAGE_ADD_OPERATOR_6E27E9DA69	商贩	Li Lingfu
CODE_LEVERAGE_ADD_OPERATOR_7A4C672055	李灵甫	[System]:
CODE_LEVERAGE_ADD_OPERATOR_85A28E77E3	[系统提示]：	Poor folk
CODE_LEVERAGE_ADD_OPERATOR_9CF19D2B90	穷人	Pure Stream Host
CODE_LEVERAGE_ADD_OPERATOR_AAAA7D9F19	清流主人	Li Bai
CODE_LEVERAGE_ADD_OPERATOR_B23F840FF5	李白	Du Fu
CODE_LEVERAGE_ADD_OPERATOR_D1A76721CD	杜甫	Pure Stream Official
CODE_LEVERAGE_ADD_OPERATOR_D972C462FC	清流官	County Magistrate
CODE_LEVERAGE_ADD_OPERATOR_E3BD042ACC	县尉	Aristocrat
CODE_LEVERAGE_ADD_OPERATOR_E4CA3EA091	权贵	Turbid Stream Official
CODE_LEVERAGE_ADD_OPERATOR_F09988C201	浊流官	Zheng Qian
CODE_LEVERAGE_ADD_OPERATOR_F9BB96CFEC	郑虔	Passable — adequate but unremarkable.
CODE_LIANJU_SCORE_OPERATOR_322E3E0A8C	尚可，中规中矩。	Exquisite! The line feels heaven-sent — the whole hall is astounded!
CODE_LIANJU_SCORE_OPERATOR_3478636167	妙绝！此句浑然天成，四座皆惊！	Fine verse! The guests nod in approval.
CODE_LIANJU_SCORE_OPERATOR_6ADE1D34AF	佳句！宾客纷纷点头赞许。	Your couplet is flat and uninspired…
CODE_LIANJU_SCORE_OPERATOR_8D7675BC3A	你的对句平淡无奇…	Link Inspector
CODE_LINKER_LINTER_RULE_805DBF72C7	链接检查官	Flag %s is required but no event provides it
CODE_LINKER_LINTER_RULE_A3922B8D57	Flag %s 被需求但没有事件提供	Trait %s is required but no event provides it
CODE_LINKER_LINTER_RULE_F7EDD1483F	Trait %s 被需求但没有事件提供	[color=magenta]💀 Unknown command. Type 'help' for salvation.[/color]
CODE_LINTER_CONSOLE_03C60BBCBB	[color=magenta]💀 未知指令。输入 'help' 获取救赎。[/color]	[color=cyan]fetch[/color] - Sync raw CSV assets from the cloud
CODE_LINTER_CONSOLE_2F8ABC3F69	[color=cyan]fetch[/color] - 从云端同步原始 CSV 资产	[color=cyan]lint[/color]  - Run static scan for data integrity and perpetual-motion exploits
CODE_LINTER_CONSOLE_78294FDE39	[color=cyan]lint[/color]  - 执行数据完整性与永动机漏洞静态扫描	[color=cyan]bake[/color]  - Shard and pack raw data into O(1) .tres runtime database
CODE_LINTER_CONSOLE_89A8022B7B	[color=cyan]bake[/color]  - 将原始数据分流打包为 O(1) .tres 运行时数据库	[color=green]🚀 Starting async chain download...[/color]
CODE_LINTER_CONSOLE_BFCDCC4442	[color=green]🚀 开始执行异步链式下载...[/color]	[color=yellow][b]⚔️ Tang Dynasty Data Console mounted. Type 'help' for available commands.[/b][/color]
CODE_LINTER_CONSOLE_E79CC36346	[color=yellow][b]⚔️ 大唐数值资产控制台已挂载。输入 'help' 查看可用指令。[/b][/color]	[color=red][b]😡 [Linter Error] Perpetual-motion option detected! Event [event_9527] costs 0 time but grants rewards![/b][/color]
CODE_LINTER_CONSOLE_FA600D9974	[color=red][b]😡 [Linter Error] 发现永动机选项！事件 [event_9527] 消耗时间为0却提供奖励！[/b][/color]	Attribute requirements not met
CODE_MAIN_ACTION_BUTTON_13B937F5A7	属性不满足	Requirements not met:
CODE_MAIN_ACTION_BUTTON_46F4EC4498	条件不满足：	
