row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,provider,template
>option,,,,,取出银袋，置于案角。,,prop_sub(name=money; val=15) | prop_sub(name=money; val=30) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l1_typea_m1,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),清客索润笔,“此帖行款不合规矩，按例当退。”你正欲陈情，他抬手止住，自袖中取出一方旧墨锭把玩：“不过，若是肯出些润笔之资，鄙人倒可费心替你重拟一份合式的。”言罢，他将墨锭搁回案头，目光落向窗外渐斜的日影，不再看你。,,,,,
>option,,,,,取出银钱，请门吏代劳。,,prop_sub(name=money; val=22.5) | prop_sub(name=money; val=45) | prop_add(name=career_progress; val=22.5),,,
random_event,bai_ye_honeymoon_l1_typea_m2,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),门房递话,"你持名帖至某侍郎府邸,门子引你至侧厅等候。片刻后,一位青衫文人踱步而入,自称府中幕僚。他接过名帖略看一眼,淡淡道:“相公近日政务繁忙,拜谒者众。阁下若有要事,可先留下‘程仪’,小人自当代为转达。”他说话时目光落在案上一本登记簿上,上面密密麻麻记着姓名与银两数目。你意识到,若不留下银钱,名帖恐难递到侍郎案前。",,,,,
>option,,,,,"付银五两,请其通传。",,prop_sub(name=money; val=15) | prop_sub(name=money; val=30) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l1_typeb_m0,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),西厅候见,"""李少尹正与河东节度使议事，恐今日无暇。""他没有看你，只翻动案上卷宗。窗外天色渐暗，北风灌入厅堂，你觉四肢冻得发僵，喉间有咸涩之意。他忽然抬笔在案上批注，尺牍上写的是你方才呈上的诗稿。",,,,,
>option,,,,,"""取半两碎银压于诗稿下，请他递话""",,prop_sub(name=money; val=15) | prop_sub(name=health; val=7.5) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l1_typeb_m1,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),李主簿的算筹,“新来的？站那里等着。”这一等便是两个时辰。日影西斜，老者方搁笔，搓着手指道：“今儿抄了二百份册子，手指都木了。你既来了，替老夫校这十卷粮册可好？校完方好说话。”说罢将一卷案牍推来，羊毫悬空。你腹中饥鸣，双腿已僵，却见老者目光淡然，仿佛这站候本就是规矩。,,,,,
>option,,,,,接过卷册，在灯下咬牙校勘。,,prop_sub(name=money; val=22.5) | prop_sub(name=health; val=11.25) | prop_add(name=career_progress; val=22.5),,,
random_event,bai_ye_honeymoon_l1_typeb_m2,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),冬夜候见,酉时三刻，你持名帖至某权贵宅邸。门子引你至偏厅，言幕僚正在批阅公文，请稍候。偏厅无炭火，寒风穿堂而过。更漏滴了半个时辰，你听见里间传来茶杯碰撞声与低语，却始终无人传唤。你搓着手心，呵气成霜。,,,,,
>option,,,,,整肃衣冠，继续安静等待,,prop_sub(name=money; val=15) | prop_sub(name=health; val=7.5) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l1_typec_m0,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),清客庭前冷落,“新科进士？文章倒是花团锦簇，可惜多为浮辞。”说罢又翻过一页，让您站立半个时辰，其间不时以言辞贬损您的诗文和出身，却始终不提正题。旁边小厮偶尔进出，他故意当着您的面吩咐：“去告诉老爷，今日访客皆庸碌，不必费心接见。”话音虽低，却清晰可闻，分明是说给您的。,,,,,
>option,,,,,恭敬认错，求指点文章。,,prop_sub(name=money; val=15) | prop_sub(name=fatigue; val=15) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l1_typec_m1,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),幕僚冷面授机宜,“字俗气重，毫无风骨。”又瞥你衣裳：“初入仕途，不知深浅。”他将拜帖掷回桌角，慢悠悠道：“侍郎公事忙，你且回去，好生习字。”话音未落，已转身翻阅案牍，再不看你。廊外蝉声聒噪，室内寂静如铁。,,,,,
>option,,,,,躬身作揖，请他在拜帖上批注,,prop_sub(name=money; val=22.5) | prop_sub(name=fatigue; val=22.5) | prop_add(name=career_progress; val=22.5),,,
random_event,bai_ye_honeymoon_l1_typec_m2,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),礼单上的尘埃,午时三刻，你于权贵府邸偏厅候见。一青衣清客坐于案后，指尖翻动你的名帖与礼单，半晌不语。案上茶盏已凉，他忽将礼单轻轻一推，纸角沾上浮尘。“进士的拜帖，留个名字便可。至于礼单…总得有个懂规矩的人过目。”他垂目饮茶，不再看你。门外脚步声来来去去，无人为你添水。,,,,,
>option,,,,,躬身赔笑，请先生指点规矩,,prop_sub(name=money; val=15) | prop_sub(name=fatigue; val=15) | prop_add(name=career_progress; val=15),,,
random_event,bai_ye_honeymoon_l2_typea_m0,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),投名之敬,“听闻贤契与河西节度使幕下某人有旧？”你尚未答话，他抬手止住：“今上欲问边事，老夫需一份‘实情’。你且备三百贯，权作纸墨之资。此事若成，于你、于老夫，都是一功。”言罢，他低头吹茶，室内只剩水汽氤氲。,,,,,
>option,,,,,当即取出银票，躬身应承,,prop_sub(name=money; val=20) | prop_sub(name=fatigue; val=10) | prop_sub(name=money; val=40) | prop_add(name=career_progress; val=20),,,
random_event,bai_ye_honeymoon_l2_typea_m1,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),炭火名帖,“听闻你文章不错。”随即拿起你的名帖，在手中掂了掂，转手丢入炭火盆中。火苗舔舐纸缘，他盯着你的眼睛缓缓道：“这帖子太轻了。本阁的门槛，得用真金白银铸才配踩进来。你回去想想。”话音未落，书童已上前送客。,,,,,
>option,,,,,倾尽家财，再备重礼入府求见。,,prop_sub(name=money; val=30) | prop_sub(name=fatigue; val=15) | prop_sub(name=money; val=60) | prop_add(name=career_progress; val=30),,,
random_event,bai_ye_honeymoon_l2_typea_m2,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),紫宸殿外候见记,你手持名刺与诗卷，在紫宸殿西廊下候了三个时辰。日影西斜时，内侍才引你入偏殿。中书令裴宽正批阅文书，头也不抬：“文章留下，三日后听信。”你方要呈上诗卷，他忽道：“润笔之资可备齐？本省纸墨近来短缺。”语罢继续挥毫，案上端砚旁赫然摆着一对鎏金狮子镇纸。,,,,,
>option,,,,,奉上五两银饼充润笔,,prop_sub(name=money; val=20) | prop_sub(name=fatigue; val=10) | prop_sub(name=money; val=40) | prop_add(name=career_progress; val=20),,,
random_event,bai_ye_honeymoon_l2_typeb_m0,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),立雪候阶,"暮春时节，细雨连绵。你持名帖立于中书侍郎宅邸阶下，门子通传后未得回复。檐角滴水渐密，衣衫尽湿。两个时辰后，方见管家引你入偏厅。侍郎斜倚榻上，手中茶盏热气氤氲，目光却落在案上一封未启的书信上。""李相公近来查问各地举子动静，本官不得不谨慎些。""他放下茶盏，慢声道，""你且在此候着，待我与幕僚议完事再谈。""茶已凉透，窗外暮色沉沉。",,,,,
>option,,,,,躬身称是，退至廊下继续等候,,prop_sub(name=money; val=20) | prop_sub(name=fatigue; val=10) | prop_sub(name=health; val=10) | prop_add(name=career_progress; val=20),,,
random_event,bai_ye_honeymoon_l2_typeb_m1,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),立冬候见,你被引入西暖阁时，阁中已坐三人。权贵正伏案批文，头也不抬。你跪于炭盆前等候，盆中炭火灼人，额角汗水涔涔。约半个时辰后，他搁笔，命你誊抄案上一卷文书。你跪着抄写，手腕酸麻。他饮茶观你，一言不发。抄至第三页，你头晕目眩，几欲呕吐。,,,,,
>option,,,,,强撑精神，继续抄写。,,prop_sub(name=money; val=30) | prop_sub(name=fatigue; val=15) | prop_sub(name=health; val=15) | prop_add(name=career_progress; val=30),,,
random_event,bai_ye_honeymoon_l2_typeb_m2,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),府邸候见,午时三刻，你随门子入厅堂。权贵坐于案后，手执朱笔批阅文书。你躬身行礼，他只略抬眼皮，示意候立。日影渐斜，茶水无人添，腿脚发麻，额角冷汗涔涔。直至申时，他搁笔，说一句“知道了，改日再来”，便转入后堂。,,,,,
>option,,,,,强撑病体继续站立等候,,prop_sub(name=money; val=20) | prop_sub(name=fatigue; val=10) | prop_sub(name=health; val=10) | prop_add(name=career_progress; val=20),,,
random_event,bai_ye_honeymoon_l2_typec_m0,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),紫宸殿前受辱,“新科进士？文章我看过，徒有辞藻，于国无益。”他随手将你的诗文掷于地上，转头对侍从笑道：“近日圣人欲整肃吏治，正缺个典型。此子昨日还在东市醉酒，今日便来拜谒，岂非狂徒？”侍从会意而笑。李琮拈起茶盏，慢悠悠道：“你若识趣，自去御史台领二十杖，便算你献身成仁，为本官添一分风骨。”,,,,,
>option,,,,,躬身领命，去御史台领杖。,,prop_sub(name=money; val=20) | prop_sub(name=fatigue; val=10) | prop_sub(name=fatigue; val=20) | prop_add(name=career_progress; val=20),,,
random_event,bai_ye_honeymoon_l2_typec_m1,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),玉如意下跪尘泥,“听闻你进士及第？”您刚要作答，他冷笑一声：“长安进士，每年几百个，本相记不住。”随后命您背诵所作诗文。您念至第三句，他抬手打断：“辞藻堆砌，毫无骨力。”将玉如意搁在案上，缓缓道：“这诗里没有忠君之心。你走吧。”家丁上前，将您前日送去的拜帖与礼单掷于地上。您跪着退出，身后传来他与清客谈笑之声。今日的羞辱，未花一文，却比那三十两更重。,,,,,
>option,,,,,伏地叩首，低声谢恩，退步出府。,,prop_sub(name=money; val=30) | prop_sub(name=fatigue; val=15) | prop_sub(name=fatigue; val=30) | prop_add(name=career_progress; val=30),,,
random_event,bai_ye_honeymoon_l2_typec_m2,trigger_tags=[action:main:baiye]|weight=10,prop_lt(name=career_progress; val=70),堂前冷遇,“不过又是个来讨官做的。”直至清谈散去，他才转身打量你片刻，缓缓道：“读书人，会写几篇赋便以为能治国了？朝廷的俸禄，没那么好拿。”说罢起身入门，门子已在外候着，示意你该走了。,,,,,
>option,,,,,拱手告退，改日再来投帖,,prop_sub(name=money; val=20) | prop_sub(name=fatigue; val=10) | prop_sub(name=fatigue; val=20) | prop_add(name=career_progress; val=20),,,
